Category,2024 EVENT │ PROMO,WHITE TAG,AD RETAIL,BLENDED COST / UNIT,Estimated DNP
2024 EVENT,$7.50; 2/$13 MB EDV,7.5,6.5,6.1175,12.235
2024 EVENT,3/$13 NET 3/$11,7.5,4.333333333333333,5.409999999999999,10.819999999999999
2024 EVENT,3/$15 NET 3/$13,7.5,5,5.900499999999999,11.800999999999998
2024 EVENT,3/$15 MB,7.5,5,5.8614999999999995,11.722999999999999
2024 EVENT,$7.95; 2/$14 MB EDV,7.95,7,6.5275,13.055
2024 EVENT,$7.95; 2/$14 MB EDV + FLV 3/$12 MB ,7.95,4,5.725899999999999,11.451799999999999
2024 EVENT,"$7.95 B2G2 (NET $3.98, 4/$16)",7.95,3.975,5.244999999999999,10.489999999999998
2024 EVENT,3/$13 MB,7.95,4.333333333333333,5.529999999999999,11.059999999999999
2024 EVENT,3/$13 NET 3/$11,7.95,3.6667,5.45811,10.91622
2024 EVENT,3/$14 MB,7.95,4.666666666666667,5.73005,11.4601
2024 EVENT,3/$14 NET 3/$12,7.95,4,5.67,11.34
2024 EVENT,B2G1 (3/$15.90),7.95,5.3,6.324999999999999,12.649999999999999
2024 EVENT,3/$15 MB,7.95,5,6.172,12.344
2024 EVENT,3/$15 NET 3/$13,7.95,4.333333333333333,6.14635,12.2927
2023 EVENT,$6.95; 2/$13 BLENDED EDV,6.95,6.5,5.800000000000001,11.600000000000001
2023 EVENT,3/$11 MB,6.95,3.6666666666666665,4.5515,9.103
2023 EVENT,3/$12 MB,6.95,4,4.9808,9.9616
2023 EVENT,3/$13 MB,6.95,4.333333333333333,5.304793999999999,10.609587999999999
2023 EVENT,$7.50 EDV,7.5,7.5,6.31,12.62
2023 EVENT,$7.50; 2/$13 MB EDV,7.5,6.5,6.1175,12.235
2023 EVENT,$7.50; 2/$13 MB EDV + DEW ONLY $3 DIG,7.5,6.5,6.1175,12.235
2023 EVENT,FLV 3/$11 MB   ,7.5,3.6666666666666665,5.378499999999999,10.756999999999998
2023 EVENT,3/$13 NET 3/$11 DIG,7.5,4.333333333333333,5.409999999999999,10.819999999999999
2023 EVENT,3/$13 MB,7.5,4.333333333333333,5.47,10.94
2023 EVENT,3/$14 MB,7.5,4.666666666666667,5.6,11.2
2023 EVENT,3/$14 NET 3/$12 DIG ,7.5,4.666666666666667,5.55,11.1
2023 EVENT,3/$15 NET 3/$12 DIG,7.5,4,5.761854499999999,11.523708999999998
2023 EVENT,3/$15 MB,7.5,5,5.8614999999999995,11.722999999999999
2023 EVENT,B2G1,7.5,5,5.867999999999999,11.735999999999999
2023 EVENT,3/$15 NET 3/$13 DIG  ,7.5,5,5.808738258730999,11.617476517461998
2023 EVENT,3/$15 NET 3/$14 DIG,7.5,5,5.854993734999999,11.709987469999998
2022 EVENT,5.95 EDV,5.95,5.95,5.0600000000000005,10.120000000000001
2022 EVENT,$6.50 EDV,6.5,6.5,5.52,11.04
2022 EVENT,$6.95 EDV,6.95,6.95,5.855,11.71
2022 EVENT,3/$10 MB,5.95,3.3333333333333335,4.416627745733099,8.833255491466199
2022 EVENT,3/$11 MB,5.95,3.6666666666666665,4.544754385100989,9.089508770201977
2022 EVENT,3/$12 MB,5.95,4,4.487236597052383,8.974473194104766
2022 EVENT,12P Flavors 3/$12 + $2 Digital Coupon,5.95,2,4.996415405563319,9.992830811126638
2022 EVENT,3/$11 MB,6.5,3.6666666666666665,4.5874730203577805,9.174946040715561
2022 EVENT,3/$12 MB,6.5,4,4.673547270294576,9.347094540589152
2022 EVENT,12P Flavors 3/$12 + $1 Digital Coupon,6.5,3,4.6343749371700165,9.268749874340033
2022 EVENT,12P Flavors 3/$12 + $2 Digital Coupon,6.5,2,5.422995286391149,10.845990572782298
2022 EVENT,3/$11 MB,6.95,3.6666666666666665,5.855,11.71
2022 EVENT,3/$12 MB,6.95,4,5.072839545965554,10.145679091931108
2022 EVENT,3/$13 MB,6.95,4.333333333333333,5.579813352000374,11.159626704000749
2022 EVENT,12P Flavors 3/$12 + $2 Digital Coupon,6.95,2,5.59,11.18
2021 EVENT,5.95 EDV,5.1,5.1,4.05,8.1
2021 EVENT,$6.50 EDV,5.25,5.25,4.170000000000001,8.340000000000002
2021 EVENT,$6.95 EDV,5.95,5.95,5.06,10.12
2021 EVENT,3/$10 MB,5.1,3.3333333333333335,3.6476999999999995,7.295399999999999
2021 EVENT,2/$10,5.25,5,4.0944,8.1888
2021 EVENT,3/$10 MB,5.25,3.3333333333333335,3.8739666666666666,7.747933333333333
2021 EVENT,3/$11 MB,5.25,3.6666666666666665,3.677126285714286,7.354252571428572
2021 EVENT,3/$12 MB ,5.25,4,3.8082,7.6164
2021 EVENT,"3/$12 MB
(w/$1 Digital Coupon)",5.25,3,3.8550999999999997,7.7101999999999995
2021 EVENT,3/$9 MB,5.25,3,3.8463,7.6926
2021 EVENT,3/$10 MB,5.95,3.3333333333333335,4.42925,8.8585
2021 EVENT,3/$11,5.95,3.6666666666666665,4.591276,9.182552
2021 EVENT,3/$11 MB DEW,5.95,3.6666666666666665,4.764799999999999,9.529599999999999
