Category,2024 EVENT │ PROMO,WHITE TAG,AD RETAIL,BLENDED COST / UNIT,Estimated DNP
2024 EVENT,$2.50 EDV,2.5,2.5,2.12,16.96
2024 EVENT,2/$3.50 MB,2.5,1.75,1.8757999999999997,15.006399999999998
2024 EVENT,"FLAVORS 5/$5 MB 
(Schw, Mug, Brisk, Starry)",2.5,1,1.5875000000000001,12.700000000000001
2024 EVENT,3/$5 MB - 3-Day ($2.75),2.75,1.6666666666666667,2.0433333333333334,16.346666666666668
2024 EVENT,$2.75 EDV,2.75,2.75,2.325,18.6
2024 EVENT,3/$6 MB,2.75,2,2.2425,17.94
2024 EVENT,2/$3.50 MB,2.75,1.75,2.1325000000000003,17.060000000000002
2024 EVENT,3/$5 MB,2.75,1.6666666666666667,2.0976000000000004,16.780800000000003
2024 EVENT,4/$5 MB - 3-Day,2.75,1.25,2.075,16.6
2024 EVENT,B2G2 (2-Day),2.75,1.38,2.1654,17.3232
2024 EVENT,"FLAVORS 5/$5 MB 
(Schw, Mug, Brisk, Starry)",2.75,1,1.9629,15.7032
2023 EVENT,$2.30 EDV,2.3,2.3,2.12,16.96
2023 EVENT,2/$3.50 MB,2.3,1.75,1.85545,14.8436
2023 EVENT,$2.50 EDV,2.5,2.5,2.12,16.96
2023 EVENT,2/$3.50 MB,2.5,1.75,1.8350999999999997,14.680799999999998
2023 EVENT,3/$5 MB (2/$3.50 Scan),2.5,1.6666666666666667,2.02639,16.21112
2023 EVENT,2-Day 4/$5 MB (No Scan) ,2.5,1.25,2.12,16.96
2023 EVENT,4/$5 MB (2/$3.50 Scan) + TX/FL 3/$3 ,2.5,1.25,1.83103,14.64824
2023 EVENT,"FLAVORS 5/$5 MB 
(Schw, Mug, Brisk, Starry)",2.5,1,1.5875000000000001,12.700000000000001
2022 EVENT,1.90 EDV,1.9,1.9,1.6725,13.38
2022 EVENT,2/$2.50 MB,1.9,1.25,1.234182400117347,9.873459200938775
2022 EVENT,2.20 EDV,2.2,2.2,1.8999999999999992,15.199999999999994
2022 EVENT,3/$5 MB,2.2,1.6666666666666667,1.6529817240544222,13.223853792435378
2022 EVENT,2.30 EDV,2.3,2.3,2.002795,16.02236
2022 EVENT,2/$2.50 Dew Only,2.3,1.25,1.9600226388402313,15.68018111072185
2022 EVENT,3/$5 MB,2.3,1.6666666666666667,1.756130007596887,14.049040060775097
2021 EVENT,$1.80 EDV,1.8,1.8,1.585,12.68
2021 EVENT,$0.95 (MB3),1.8,0.95,1.3704,10.9632
2021 EVENT,2/$2.50 MB,1.8,1.25,1.2195,9.756
2021 EVENT,$1.90 EDV,1.9,1.9,1.6724999999999997,13.379999999999997
2021 EVENT,2/$2.50 MB,1.9,1.25,1.3750875,11.0007
2021 EVENT,3/$5 MB,1.9,1.6666666666666667,1.6085523333333334,12.868418666666667
2021 EVENT,4/$4 MB,1.9,1,1.1804000000000001,9.443200000000001
