Input_Product,PPG,Standardised_PPG,Scope
Lay's PSZ,,LAYS PARTY SIZE,Yes
PSZ Value Line,,HOT FRIES VALUE PARTY SIZE,Yes
PSZ Core (xLays),,CRUNCHY CHEETOS PARTY SIZE,Yes
Lay's XL,,LAYS XL,Yes
Ruffles XXL,,RUFFLES XXL,Yes
Doritos XXL,,DORTIOS XXL,Yes
Cheetos XL,,CHEETOS POPCORN XL,Yes
Fritos XL ,,FRITOS XL,Yes
Tostitos XXL,,TOSTITOS XXL,Yes
Salsa XL,,DIPS SALSA DIP,Yes
Queso/Dairy XL,,DIPS QUESO DIP,Yes
Lcan Dips,,DIPS LCAN,Yes
Salsa XXL ,,DIPS 24 OZ,No
Queso XXL ,,DIPS 23 OZ,No
XL Popcorners (7oz),,POPCORNERS XL,Yes
$2.69 Value Line,,MUNCHOS 2VALUE LINE,Yes
Funyuns XL,,FUNYUNS XL,Yes
XL Sunchips,,SUNCHIPS XL,Yes
XL Smartfood,,SMARTFOOD POPCORN XL,Yes
XL Simply Natural ,,SIMPLY XL,Yes
XL OTEP,,PREMIUM POPPED CHIPS XL,No
XL Rold Gold,,ROLD GOLD XL,Yes
XL Kettle,,KETTLE XL,Yes
XL Baked,,BAKED CRUNCH CHEETOS XL,Yes
Munchies XL,,MUNCHIES XL,Yes
XL Sabritas or XL Hispanic,,LAYS HISPANIC XL ,No
10ct MP,,MULTIPACK LARGE SP (12SAK),Yes
10ct VMP,,MULTIPACK LARGE SP (12SAK-VARIETY),No
18ct MP,,MULTIPACK PARTY SIZE,Yes
28ct MP ,,MULTIPACK VALUE VP,Yes
XXL La Cocina de Josefina,,COCINA XXL,Yes
Single Serve Dips,,SINGLE SERVE DIPS,No
XXVL Popcorners (3oz) & Quaker Rice Crisps,,POPCORNERS SS,No
SSF X-XVL,,SINGLE SERVE FLEX XXVL,Yes
SVLR,,SINGLE SERVE FLEX SVL-RETAIL,Yes
Jack Links 2.65oz TH,,,No
Jack Links 0.9oz Sticks,,,No
Jack Links 1.75oz Bites,,,No
Jack Links Meat & Cheese Combo (launches Jan '24),,,No
8-Pack Crackers (Munchies),,,No
GMAS Cookies,,,No
Premium Nuts,,,No
Seeds LGBT,,,No
Flavor shots,,,No
Gamesa $1.39,,,No
Gamesa $0.69,,,No
Munchies SVL3P,,,No
Nuts Tube,,,No
PSZ Core (xLays),,DORITOS PARTY SIZE,Yes
PSZ Core (xLays),,FRITOS PARTY SIZE,Yes
PSZ Core (xLays),,PUFF CHEETOS PARTY SIZE,Yes
PSZ Core (xLays),,RUFFLES PARTY SIZE,Yes
PSZ Core (xLays),,TOSTITOS PARTY SIZE,Yes
Cheetos XL,,CHEETOS POPCORN XL,Yes
Cheetos XL,,PUFF CHEETOS XL,Yes
XL Baked,,BAKED LAYS XL,Yes
XL Baked,,BAKED RUFFLES XL,Yes
