Product,Deal,SRP,Retail,SDV,"Total
Trade",PA,BB,"Straight Net
Cost",TM $,TM%
Lay's PSZ,EDLP,6.19,4.95,4.56,0.89,0.89,0.0,3.6699999999999995,1.2800000000000007,0.2585858585858587
Lay's PSZ,2/$9 MB or MnM,6.19,4.5,4.56,1.12,0.89,0.23,3.4399999999999995,1.0600000000000005,0.23555555555555566
PSZ Value Line,EDLP,3.99,3.95,2.94,0.0,0.0,0.0,2.94,1.0100000000000002,0.2556962025316456
PSZ Core (xLays),EDLP,7.29,5.5,5.36,1.03,1.03,0.0,4.33,1.17,0.2127272727272727
Lay's XL,EDLP,4.99,4.25,3.68,0.41,0.41,0.0,3.27,0.98,0.23058823529411765
Lay's XL,2/$6 MB,4.99,3.0,3.68,1.09,0.41,0.68,2.59,0.41000000000000014,0.13666666666666671
Lay's XL,$2.25 MB4,4.99,2.25,3.68,1.41,0.41,1.0,2.2700000000000005,-0.020000000000000462,-0.008888888888889094
Lay's XL,$1.95 MB4,4.99,1.95,3.68,1.51,0.41,1.1,2.17,-0.21999999999999997,-0.11282051282051281
Ruffles XXL,EDLP,5.99,4.95,4.41,0.77,0.77,0.0,3.64,1.31,0.26464646464646463
Ruffles XXL,2/$8 MnM or MB,5.99,4.0,4.41,1.07,0.77,0.3,3.34,0.6600000000000001,0.16500000000000004
Doritos XXL,EDLP,6.29,4.5,4.63,1.04,1.04,0.0,3.59,0.9100000000000001,0.20222222222222225
Doritos XXL,2/$6.50 MB (3-Week Bridge),6.29,3.25,4.63,1.62,1.04,0.58,3.01,0.2400000000000002,0.07384615384615391
Doritos XXL,2/$7.00 MB or MnM,6.29,3.5,4.63,1.46,1.04,0.42,3.17,0.33000000000000007,0.0942857142857143
Doritos XXL,$2.45 MB4 / B2G2,6.29,2.45,4.63,2.08,1.04,1.04,2.55,-0.09999999999999964,-0.040816326530612096
Cheetos XL,EDLP,5.89,4.95,4.35,0.62,0.62,0.0,3.7299999999999995,1.2200000000000006,0.24646464646464658
Cheetos XL,2/$7 (3-Week Bridge),5.89,3.5,4.35,1.17,0.62,0.55,3.1799999999999997,0.3200000000000003,0.09142857142857151
Cheetos XL,2/$8 MnM or MB,5.89,4.0,4.35,1.0,0.62,0.38,3.3499999999999996,0.6500000000000004,0.1625000000000001
Cheetos XL,B1G1 50% Off,5.89,3.7125000000000004,4.35,1.12,0.62,0.5,3.2299999999999995,0.4825000000000008,0.12996632996633017
Cheetos XL,$2.45 MB4 / B2G2,5.89,2.45,4.35,1.8199999999999998,0.62,1.2,2.53,-0.07999999999999963,-0.03265306122448964
Cheetos XL,$2.25 MB4,5.89,2.25,4.35,1.9700000000000002,0.62,1.35,2.3799999999999994,-0.12999999999999945,-0.05777777777777753
Cheetos XL,$1.95 MB4,5.89,1.95,4.35,2.1,0.62,1.48,2.2499999999999996,-0.2999999999999996,-0.15384615384615363
Fritos XL ,EDLP,5.89,4.95,4.35,0.57,0.57,0.0,3.78,1.1700000000000004,0.23636363636363644
Fritos XL ,2/$8 MB or MnM,5.89,4.0,4.35,1.02,0.57,0.45,3.3299999999999996,0.6700000000000004,0.1675000000000001
Fritos XL ,B1G1 50% Off,5.89,3.7125000000000004,4.35,1.18,0.57,0.61,3.17,0.5425000000000004,0.14612794612794622
Fritos XL ,$2.45 MB4 / B2G2,5.89,2.45,4.35,1.77,0.57,1.2,2.5799999999999996,-0.12999999999999945,-0.05306122448979569
Tostitos XXL,EDLP,5.99,4.95,4.41,0.76,0.76,0.0,3.6500000000000004,1.2999999999999998,0.2626262626262626
Tostitos XXL,2/$8 MnM or MB,5.99,4.0,4.41,1.04,0.76,0.28,3.37,0.6299999999999999,0.15749999999999997
Tostitos XXL,B1G1 50% Off,5.99,3.7125000000000004,4.41,1.15,0.76,0.39,3.2600000000000002,0.4525000000000001,0.1218855218855219
Tostitos XXL,$2.45 MB4 / B2G2,5.99,2.45,4.41,1.5899999999999999,0.76,0.83,2.8200000000000003,-0.3700000000000001,-0.15102040816326534
Salsa XL,EDLP,4.09,3.8,3.0,0.18,0.18,0.0,2.82,0.98,0.2578947368421053
Salsa XL,2/$7 MnM or MB,4.09,3.5,3.0,0.28,0.18,0.1,2.7199999999999998,0.7800000000000002,0.22285714285714292
Salsa XL,2/$6.50 MnM or MB,4.09,3.25,3.0,0.41000000000000003,0.18,0.23,2.59,0.6600000000000001,0.20307692307692313
Queso/Dairy XL,EDLP,5.09,4.95,3.75,0.14,0.14,0.0,3.61,1.3400000000000003,0.2707070707070708
Queso/Dairy XL,2/$8 MB or MnM,5.09,4.0,3.75,0.22000000000000003,0.14,0.08,3.53,0.4700000000000002,0.11750000000000005
Queso/Dairy XL,B1G1 50% Off,5.09,3.7125000000000004,3.75,0.26,0.14,0.12,3.49,0.22250000000000014,0.05993265993265996
Queso/Dairy XL,$2.45 MB4 / B2G2,5.09,2.45,3.75,0.97,0.14,0.83,2.7800000000000002,-0.33000000000000007,-0.13469387755102044
Lcan Dips,EDLP,3.59,3.3,2.63,0.18000000000000016,0.18000000000000016,0.0,2.4499999999999997,0.8500000000000001,0.2575757575757576
Salsa XXL ,EDLP,5.09,4.95,3.7,0.0,0.0,0.0,3.7,1.25,0.25252525252525254
Queso XXL ,EDLP,6.09,5.95,4.49,0.03,0.03,0.0,4.46,1.4900000000000002,0.25042016806722694
XL Popcorners (7oz),EDLP,4.79,4.15,3.35,0.37,0.37,0.0,2.98,1.1700000000000004,0.28192771084337354
$2.69 Value Line,EDLP,2.99,2.95,2.2,0.04,0.04,0.0,2.16,0.79,0.2677966101694915
$2.69 Value Line,2/$4 MB,2.99,2.0,2.2,0.38999999999999996,0.04,0.35,1.8100000000000003,0.18999999999999972,0.09499999999999986
Funyuns XL,EDLP,5.49,5.25,4.05,0.21,0.21,0.0,3.84,1.4100000000000001,0.26857142857142857
XL Sunchips,EDLP,4.79,4.25,3.52,0.3,0.3,0.0,3.22,1.0299999999999998,0.24235294117647055
XL Sunchips,2/$7 MB or MnM,4.79,3.5,3.52,0.59,0.3,0.29,2.93,0.5699999999999998,0.1628571428571428
XL Smartfood,EDLP,5.19,3.85,3.82,0.82,0.82,0.0,3.0,0.8500000000000001,0.2207792207792208
XL Smartfood,2/$6.50 MnM or MB,5.19,3.25,3.82,1.04,0.82,0.22,2.78,0.4700000000000002,0.14461538461538467
XL Simply Natural ,EDLP,5.29,3.95,3.7,0.86,0.86,0.0,2.8400000000000003,1.1099999999999999,0.28101265822784804
XL OTEP,EDLP,4.79,3.85,3.35,0.29,0.29,0.0,3.06,0.79,0.2051948051948052
XL Rold Gold,EDLP,3.99,3.65,2.82,0.08,0.08,0.0,2.7399999999999998,0.9100000000000001,0.24931506849315074
XL Rold Gold,2/$6 MB,3.99,3.0,2.82,0.24,0.08,0.16,2.58,0.41999999999999993,0.13999999999999999
XL Kettle,EDLP,4.99,4.45,3.68,0.34,0.34,0.0,3.3400000000000003,1.1099999999999999,0.24943820224719096
XL Kettle,2/$7 MB,4.99,3.5,3.68,0.73,0.34,0.39,2.95,0.5499999999999998,0.15714285714285708
XL Kettle,2/$6 MB,4.99,3.0,3.68,1.1300000000000001,0.34,0.79,2.55,0.4500000000000002,0.15000000000000005
XL Kettle,$2.25 MB4,4.99,2.25,3.68,1.37,0.34,1.03,2.31,-0.06000000000000005,-0.02666666666666669
XL Kettle,$1.95 MB4,4.99,1.95,3.68,1.51,0.34,1.17,2.17,-0.21999999999999997,-0.11282051282051281
XL Baked,EDLP,4.79,4.45,3.52,0.21,0.21,0.0,3.31,1.1400000000000001,0.2561797752808989
XL Baked,2/$6.50 MB or MnM,4.79,3.25,3.52,0.69,0.21,0.48,2.83,0.41999999999999993,0.1292307692307692
Munchies XL,EDLP,3.79,3.45,2.78,0.19,0.19,0.0,2.59,0.8600000000000003,0.24927536231884065
XL Sabritas or XL Hispanic,EDLP,3.69,3.3,2.72,0.25,0.25,0.0,2.47,0.8299999999999996,0.2515151515151514
XL Sabritas or XL Hispanic,2/$6 MnM,3.69,3.0,2.72,0.37,0.25,0.12,2.35,0.6499999999999999,0.21666666666666665
10ct MP,EDLP,7.19,6.25,5.32,0.69,0.69,0.0,4.630000000000001,1.6199999999999992,0.2591999999999999
10ct MP,5.45,7.19,5.45,5.32,0.96,0.96,0.0,4.36,1.0899999999999999,0.19999999999999996
