Importance,Silver_Layer_Column,Data_Type,Source_Column_from_Input_PPA,Mapping_Logic,Formula_Value,source
Must Have,COGS_AMOUNT,Float,,Hardcoded,0,
Must Have,BB_DSCNT_AMT,Float,BB,Direct Pull,,
Must Have,CRNCY_CDV,String,,Hardcoded,USD,
Must Have,CTRY_CDV,String,,Hardcoded,US,
Must Have,DSCNT_AMT,Float,,Hardcoded,0,
Must Have,PRMTN_ALWNC_DSCNT_AMT,Float,PA,Direct Pull,,
Must Have,MCHNC_NM,Float,,Hardcoded,0,
Must Have,MCHNC_PRC_AMT,Float,Deal (Quantity) * Retail,Calculated,MCHNC_PRC_PER_UNIT_AMT * MCHNC_PRC_QTY,
Must Have,MCHNC_PRC_PER_UNIT_AMT,Float,Retail,Direct Pull,,
Must Have,MCHNC_PRC_QTY,Float,Deal,Calculated,,
Must Have,MCHNC_TYP_NM,String,Deal,Calculated,,
Must Have,MKT_BNNR_NM,String,,Hardcoded,National,
Must Have,MKT_RTLR_NM,String,,Hardcoded,Dollar General,
Must Have,RDMPTN_DSCNT_PCT,Float,,Hardcoded,0,
Must Have,SDV_COST_AMT,Float,SDV,Direct Pull,,
Must Have,UCOST_AMT,Float,,Hardcoded,0,
Must Have,VAT_AMT,Float,,Hardcoded,0,
Must Have,PRC_EFF_END_DT,String,,Hardcoded,01-01-9999,
Must Have,PRC_EFF_STRT_DT,String,,Hardcoded,2/25/2024,
Must Have,PRC_TYP_NM,String,,Hardcoded,BASE/PROMO,
Must Have,PROD_ATRBT_1_TYP_NM,String,,Hardcoded,PPG,
Must Have,PROD_ATRBT_1_VAL,String,Product,Direct Pull,,
Must Have,PROD_ATRBT_2_TYP_NM,String,,Hardcoded,FEATURE_TYPE,
Must Have,PROD_ATRBT_2_VAL,String,,Hardcoded,NA,
Must Have,PROD_CTGY_NM,String,,Hardcoded,Snacks,
Must Have,SYS_NM,String,,Hardcoded,MANUAL FINANCE PFNA DOLLAR GENERAL,
Good to Have,FRGHT_COST_AMT,String,[left blank],Hardcoded,,
Good to Have,CASE_SIZE_NUM,String,[left blank],Hardcoded,,
Good to Have,FWD_LOOK_CALDR_FLG,String,[left blank],Hardcoded,,
Good to Have,NETREV_PER_UNIT_AMT,Float,"Straight Net
Cost",Direct Pull,,
Must Have,PROD_ATRBT_3_TYP_NM,String,,Hardcoded,NA,
Must Have,PROD_ATRBT_3_VAL,String,,Hardcoded,NA,
Must Have,PROD_ATRBT_4_TYP_NM,String,,Hardcoded,NA,
Must Have,PROD_ATRBT_4_VAL,String,,Hardcoded,NA,
Must Have,PROD_ATRBT_5_TYP_NM,String,,Hardcoded,PROMOTED PRODUCT CATEGOR,
Must Have,PROD_ATRBT_5_VAL,String,,Hardcoded,NA,
Good to Have,SRP_COST_AMT,Float,Retail (EDLP value),Hardcoded,,
Good to Have,PEP_MRGN_PCT,Float,[left blank],Hardcoded,,
Good to Have,PEP_MRGN_PER_UNIT_AMT,Float,[left blank],Hardcoded,,
Good to Have,RTLR_MRGN_PER_UNIT_AMT,Float,TM $,Direct Pull,,
Good to Have,RTLR_MRGN_PCT,Float,[left blank],Hardcoded,,
Good to Have,OPN_BUY_AMT,Float,Retail ,Hardcoded,,
Good to Have,SPCL_PRC_AMT,Float,[left blank],Hardcoded,,
Good to Have,MERCH_DSCNT_AMT,Float,[left blank],Hardcoded,,
