PROD_ATRBT_1_VAL,YEAR,SRP_COST_AMT,Date_Start,Date_End,Sector,Retailer,Created_By,Created_Date,Updated_By,Updated_Date
6 CT 16.9 OZ,2021,3.75,04-04-2021,9/25/2021 0:00,PBNA,DG,Admin,01-01-2024,,
6 CT 16.9 OZ,2021,3.95,9/26/2021,2/19/2022 0:00,PBNA,DG,Admin,01-01-2024,,
6 CT 16.9 OZ,2022,4.25,2/20/2022,10/15/2022 0:00,PBNA,DG,Admin,01-01-2024,,
6 CT 16.9 OZ,2022,4.75,10/16/2022,02-11-2023 00:00,PBNA,DG,Admin,01-01-2024,,
6 CT 16.9 OZ,2023,4.95,02-12-2023,02-10-2024 00:00,PBNA,DG,Admin,01-01-2024,,
6 CT 16.9 OZ,2024,5.25,02-11-2024,01-01-9999 00:00,PBNA,DG,Admin,01-01-2024,,
1 CT 2 L,2021,1.9,04-04-2021,2/19/2022 0:00,PBNA,DG,Admin,01-01-2024,,
1 CT 2 L,2022,2.2,2/20/2022,09-03-2022 00:00,PBNA,DG,Admin,01-01-2024,,
1 CT 2 L,2022,2.3,09-04-2022,02-11-2023 00:00,PBNA,DG,Admin,01-01-2024,,
1 CT 2 L,2023,2.5,02-12-2023,02-10-2024 00:00,PBNA,DG,Admin,01-01-2024,,
1 CT 2 L,2024,2.75,02-11-2024,01-01-9999 00:00,PBNA,DG,Admin,01-01-2024,,
1 CT 20 OZ,2021,1.9,04-04-2021,9/18/2021 0:00,PBNA,DG,Admin,01-01-2024,,
1 CT 20 OZ,2022,2,9/19/2021,07-02-2022 00:00,PBNA,DG,Admin,01-01-2024,,
1 CT 20 OZ,2023,2.25,07-03-2022,02-10-2024 00:00,PBNA,DG,Admin,01-01-2024,,
1 CT 20 OZ,2024,2.35,02-11-2024,01-01-9999 00:00,PBNA,DG,Admin,01-01-2024,,
12 CT 12 OZ,2021,5.25,04-04-2021,09-11-2021 00:00,PBNA,DG,Admin,01-01-2024,,
12 CT 12 OZ,2021,5.95,09-12-2021,07-02-2022 00:00,PBNA,DG,Admin,01-01-2024,,
12 CT 12 OZ,2022,6.5,07-03-2022,10/15/2022 0:00,PBNA,DG,Admin,01-01-2024,,
12 CT 12 OZ,2022,6.95,10/16/2022,02-11-2023 00:00,PBNA,DG,Admin,01-01-2024,,
12 CT 12 OZ,2023,7.5,02-12-2023,02-10-2024 00:00,PBNA,DG,Admin,01-01-2024,,
12 CT 12 OZ,2024,7.95,02-11-2024,01-01-9999 00:00,PBNA,DG,Admin,01-01-2024,,
24 CT 12 OZ,2021,7.85,04-04-2021,02-12-2022 00:00,PBNA,DG,Admin,01-01-2024,,
24 CT 12 OZ,2022,8.65,2/13/2022,02-11-2023 00:00,PBNA,DG,Admin,01-01-2024,,
24 CT 12 OZ,2023,11.95,02-12-2023,02-10-2024 00:00,PBNA,DG,Admin,01-01-2024,,
24 CT 12 OZ,2024,12.95,02-11-2024,01-01-9999 00:00,PBNA,DG,Admin,01-01-2024,,
6 CT 7.5 OZ,2021,2.8,04-04-2021,09-04-2021 00:00,PBNA,DG,Admin,01-01-2024,,
6 CT 7.5 OZ,2022,3.1,09-05-2021,07-02-2022 00:00,PBNA,DG,Admin,01-01-2024,,
6 CT 7.5 OZ,2022,3.5,07-03-2022,10/15/2022 0:00,PBNA,DG,Admin,01-01-2024,,
6 CT 7.5 OZ,2022,3.95,10/16/2022,02-11-2023 00:00,PBNA,DG,Admin,01-01-2024,,
6 CT 7.5 OZ,2023,4.5,02-12-2023,02-10-2024 00:00,PBNA,DG,Admin,01-01-2024,,
6 CT 7.5 OZ,2024,4.75,02-11-2024,01-01-9999 00:00,PBNA,DG,Admin,01-01-2024,,
18 CT 12 OZ,2021,5.95,04-04-2021,9/18/2021 0:00,PBNA,DG,Admin,01-01-2024,,
18 CT 12 OZ,2021,6.5,9/19/2021,02-05-2022 00:00,PBNA,DG,Admin,01-01-2024,,
18 CT 12 OZ,2022,6.95,02-06-2022,07-02-2022 00:00,PBNA,DG,Admin,01-01-2024,,
18 CT 12 OZ,2022,7.95,07-03-2022,10-07-2023 00:00,PBNA,DG,Admin,01-01-2024,,
18 CT 12 OZ,2023,8.95,10-08-2023,02-10-2024 00:00,PBNA,DG,Admin,01-01-2024,,
18 CT 12 OZ,2024,9.5,02-11-2024,01-01-9999 00:00,PBNA,DG,Admin,01-01-2024,,
