Importance,Silver_Layer_Column,Data_Type,Source_Column_from_Input_PPA,Mapping_Logic,Formula_Value,Sector,Retailer,Created_By,Created_Date,Updated_By,Updated_Date,source
Must Have,COGS_AMOUNT,Float,,Hardcoded,0,PBNA,DG,Admin,01-01-2024,,,
Must Have,BB_DSCNT_AMT,Float,,Hardcoded,0,PBNA,DG,Admin,01-01-2024,,,
Must Have,CRNCY_CDV,String,,Hardcoded,USD,PBNA,DG,Admin,01-01-2024,,,
Must Have,CTRY_CDV,String,,Hardcoded,US,PBNA,DG,Admin,01-01-2024,,,
Must Have,DSCNT_AMT,Float,,Hardcoded,0,PBNA,DG,Admin,01-01-2024,,,
Must Have,PRMTN_ALWNC_DSCNT_AMT,Float,,Hardcoded,0,PBNA,DG,Admin,01-01-2024,,,
Must Have,MCHNC_NM,Float,,Hardcoded,0,PBNA,DG,Admin,01-01-2024,,,
Must Have,MCHNC_PRC_AMT,Float,MCHNC_PRC_PER_UNIT_AMT * offer(Quantity) ,Calculated,MCHNC_PRC_PER_UNIT_AMT * MCHNC_PRC_QTY,PBNA,DG,Admin,01-01-2024,,,
Must Have,MCHNC_PRC_PER_UNIT_AMT,Float,AD RETAIL,Direct Pull,,PBNA,DG,Admin,01-01-2024,,,
Must Have,MCHNC_PRC_QTY,Float,Offer(Quantity),Calculated,,PBNA,DG,Admin,01-01-2024,,,
Must Have,MCHNC_TYP_NM,String,Offer(Mechanic flag),Calculated,,PBNA,DG,Admin,01-01-2024,,,
Must Have,MKT_BNNR_NM,String,,Hardcoded,National,PBNA,DG,Admin,01-01-2024,,,
Must Have,MKT_RTLR_NM,String,,Hardcoded,Dollar General,PBNA,DG,Admin,01-01-2024,,,
Must Have,RDMPTN_DSCNT_PCT,Float,,Hardcoded,0,PBNA,DG,Admin,01-01-2024,,,
Must Have,SDV_COST_AMT,Float,,Hardcoded,0,PBNA,DG,Admin,01-01-2024,,,
Must Have,UCOST_AMT,Float,,Hardcoded,0,PBNA,DG,Admin,01-01-2024,,,
Must Have,VAT_AMT,Float,,Hardcoded,0,PBNA,DG,Admin,01-01-2024,,,
Must Have,PRC_EFF_END_DT,String,,Calculated,,PBNA,DG,Admin,01-01-2024,,,
Must Have,PRC_EFF_STRT_DT,String,,Calculated,,PBNA,DG,Admin,01-01-2024,,,
Must Have,PRC_TYP_NM,String,,Hardcoded,BASE/PROMO,PBNA,DG,Admin,01-01-2024,,,
Must Have,PROD_ATRBT_1_TYP_NM,String,,Hardcoded,PPG,PBNA,DG,Admin,01-01-2024,,,
Must Have,PROD_ATRBT_1_VAL,String,PPG,Direct Pull,,PBNA,DG,Admin,01-01-2024,,,
Must Have,PROD_ATRBT_2_TYP_NM,String,,Hardcoded,Feature_Type,PBNA,DG,Admin,01-01-2024,,,
Must Have,PROD_ATRBT_2_VAL,String,,Hardcoded,NA,PBNA,DG,Admin,01-01-2024,,,
Must Have,PROD_CTGY_NM,String,,Hardcoded,Beverages,PBNA,DG,Admin,01-01-2024,,,
Must Have,SYS_NM,String,,Hardcoded,MANUAL FINANCE PFNA DOLLAR GENERAL,PBNA,DG,Admin,01-01-2024,,,
Good to Have,FRGHT_COST_AMT,String,,Hardcoded,NA,PBNA,DG,Admin,01-01-2024,,,
Good to Have,CASE_SIZE_NUM,String,,Hardcoded,NA,PBNA,DG,Admin,01-01-2024,,,
Good to Have,FWD_LOOK_CALDR_FLG,String,,Hardcoded,NA,PBNA,DG,Admin,01-01-2024,,,
Good to Have,NETREV_PER_UNIT_AMT,Float,BLENDED COST / UNIT,Direct Pull,,PBNA,DG,Admin,01-01-2024,,,
Must Have,PROD_ATRBT_3_TYP_NM,String,,Hardcoded,NA,PBNA,DG,Admin,01-01-2024,,,
Must Have,PROD_ATRBT_3_VAL,String,,Hardcoded,NA,PBNA,DG,Admin,01-01-2024,,,
Must Have,PROD_ATRBT_4_TYP_NM,String,,Hardcoded,NA,PBNA,DG,Admin,01-01-2024,,,
Must Have,PROD_ATRBT_4_VAL,String,,Hardcoded,NA,PBNA,DG,Admin,01-01-2024,,,
Must Have,PROD_ATRBT_5_TYP_NM,String,,Hardcoded,NA,PBNA,DG,Admin,01-01-2024,,,
Must Have,PROD_ATRBT_5_VAL,String,,Hardcoded,NA,PBNA,DG,Admin,01-01-2024,,,
Good to Have,SRP_COST_AMT,Float,WHITE TAG,Direct Pull,,PBNA,DG,Admin,01-01-2024,,,
Good to Have,PEP_MRGN_PCT,Float,,Hardcoded,0,PBNA,DG,Admin,01-01-2024,,,
Good to Have,PEP_MRGN_PER_UNIT_AMT,Float,,Hardcoded,0,PBNA,DG,Admin,01-01-2024,,,
Good to Have,RTLR_MRGN_PER_UNIT_AMT,Float,,Calculated,MCHNC_PRC_PER_UNIT_AMT - NETREV_PER_UNIT_AMT,PBNA,DG,Admin,01-01-2024,,,
Good to Have,RTLR_MRGN_PCT,Float,,Hardcoded,0,PBNA,DG,Admin,01-01-2024,,,
Good to Have,OPN_BUY_AMT,Float,,Hardcoded,0,PBNA,DG,Admin,01-01-2024,,,
Good to Have,SPCL_PRC_AMT,Float,,Hardcoded,0,PBNA,DG,Admin,01-01-2024,,,
Must Have,MERCH_DSCNT_AMT,Float,,Hardcoded,0,PBNA,DG,Admin,01-01-2024,,,
